file_path,actual_phoneme,predicted_phoneme,confidence_score,is_correct
data/03_augmented/ऋ/ऋ_aug_501.wav,ऋ,औ,-257.1452510683764,False
data/03_augmented/ऋ/ऋ_aug_502.wav,ऋ,ॠ,-260.8998225153574,False
data/03_augmented/ऋ/ऋ_aug_503.wav,ऋ,ॡ,-271.19076535253197,False
data/03_augmented/ऋ/ऋ_aug_504.wav,ऋ,औ,-255.69700940789585,False
data/03_augmented/ऋ/ऋ_aug_505.wav,ऋ,ॡ,-289.03959524578545,False
data/03_augmented/ऋ/ऋ_aug_506.wav,ऋ,ॠ,-242.14346052537257,False
data/03_augmented/ऋ/ऋ_aug_507.wav,ऋ,ॠ,-262.33584349537483,False
data/03_augmented/ऋ/ऋ_aug_508.wav,ऋ,औ,-281.6581167674804,False
data/03_augmented/ऋ/ऋ_aug_509.wav,ऋ,ॠ,-256.97036373888864,False
data/03_augmented/ऋ/ऋ_aug_510.wav,ऋ,ॡ,-289.59984607896894,False
data/03_augmented/ऋ/ऋ_aug_511.wav,ऋ,ॠ,-259.4782646741864,False
data/03_augmented/ऋ/ऋ_aug_512.wav,ऋ,औ,-283.17050745754227,False
data/03_augmented/ऋ/ऋ_aug_513.wav,ऋ,ॠ,-268.93343897309376,False
data/03_augmented/ऋ/ऋ_aug_514.wav,ऋ,ॠ,-255.20222408504728,False
data/03_augmented/ऋ/ऋ_aug_515.wav,ऋ,ॠ,-266.1106273132195,False
data/03_augmented/ऋ/ऋ_aug_516.wav,ऋ,औ,-269.26916775708594,False
data/03_augmented/ऋ/ऋ_aug_517.wav,ऋ,औ,-259.24096076451406,False
data/03_augmented/ऋ/ऋ_aug_518.wav,ऋ,ॠ,-234.846199089825,False
data/03_augmented/ऋ/ऋ_aug_519.wav,ऋ,औ,-266.7774296384371,False
data/03_augmented/ऋ/ऋ_aug_520.wav,ऋ,औ,-287.1933496959457,False
data/03_augmented/ऋ/ऋ_aug_521.wav,ऋ,ॡ,-306.39733345501963,False
data/03_augmented/ऋ/ऋ_aug_522.wav,ऋ,ॠ,-253.3402092614569,False
data/03_augmented/ऋ/ऋ_aug_523.wav,ऋ,औ,-278.2634676703961,False
data/03_augmented/ऋ/ऋ_aug_524.wav,ऋ,ॠ,-239.22909178160108,False
data/03_augmented/ऋ/ऋ_aug_525.wav,ऋ,ॠ,-250.8799684568592,False
data/03_augmented/ऋ/ऋ_aug_526.wav,ऋ,ॠ,-302.93023670045756,False
data/03_augmented/ऋ/ऋ_aug_527.wav,ऋ,ॠ,-258.57044051151826,False
data/03_augmented/ऋ/ऋ_aug_528.wav,ऋ,अः,-281.4462723436899,False
data/03_augmented/ऋ/ऋ_aug_529.wav,ऋ,ॡ,-271.5010726725935,False
data/03_augmented/ऋ/ऋ_aug_530.wav,ऋ,ॡ,-313.5338216152913,False
data/03_augmented/ऋ/ऋ_aug_531.wav,ऋ,ॠ,-256.13642112640616,False
data/03_augmented/ऋ/ऋ_aug_532.wav,ऋ,औ,-264.98547946183015,False
data/03_augmented/ऋ/ऋ_aug_533.wav,ऋ,ॠ,-241.86293251353374,False
data/03_augmented/ऋ/ऋ_aug_534.wav,ऋ,ॠ,-259.60379159529407,False
