file_path,target_phoneme,self_match_score
data/03_augmented/ऋ/ऋ_aug_501.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_502.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_503.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_504.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_505.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_506.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_507.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_508.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_509.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_510.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_511.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_512.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_513.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_514.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_515.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_516.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_517.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_518.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_519.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_520.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_521.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_522.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_523.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_524.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_525.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_526.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_527.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_528.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_529.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_530.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_531.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_532.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_533.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_534.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_535.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_536.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_537.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_538.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_539.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_540.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_541.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_542.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_543.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_544.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_545.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_546.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_547.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_548.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_549.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_550.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_551.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_552.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_553.wav,ऋ,-inf
data/03_augmented/ऋ/ऋ_aug_554.wav,ऋ,-inf
